	25	12	51	60	15	35	24	6	33	8	2	16	20	53	45	43	26	49	14	0	32	50	37	63	31	7	44	42	3	41	10	48	34	38	28	39	54	40	9	47	11	18	4	17	5	1	22	56	46	52	13	19	59	62	23	55	61	58	36	57	30	29	27	21
Candidatus_Nitrosocosmicus_oleophilus	40748	94614	24149	28644	51542	37495	69735	66792	66365	150140	180555	104109	59549	24929	45913	57902	39161	37498	33176	199038	133673	51001	59675	14317	10059	25201	45325	92517	89691	99680	85088	49772	66862	44528	31271	17602	19946	61940	99169	32263	90410	43251	77297	32322	46877	76016	24346	32658	35210	24892	39156	46669	19281	23972	19389	8521	13051	36565	99948	19590	11771	14480	26453	26945
Candidatus_Nitrosomarinus_catalina	13068	38743	7696	11685	15424	13056	23226	26710	23272	44306	89073	48033	23785	6125	22949	27274	13458	10928	11381	107272	49219	17889	21061	3456	1652	6806	20201	42889	33707	45454	39585	23885	17493	17401	6673	2855	6836	27751	38458	13166	39456	17328	34502	13266	14762	31334	7818	12895	14450	13203	13008	20474	8106	7862	3272	1482	3622	14458	44317	5559	3345	2683	12636	6335
Candidatus_Nitrosopelagicus_brevis	13375	37724	7833	10768	14450	11601	20716	23792	21571	37199	71613	43466	22246	6379	22553	24267	13173	11298	10413	87997	38889	16492	18879	2698	2004	7918	18288	36029	31301	42023	32581	21994	16550	16950	7621	3425	6215	21235	35397	11803	36946	16998	32094	13247	14808	29096	7413	11897	14091	12914	12168	19525	8129	7703	4395	1997	3774	14110	40189	5432	3962	3768	11600	5144
Candidatus_Nitrosopumilus_koreensis_AR1	19811	51482	11427	14473	20247	14880	26976	33331	27213	46233	86736	61386	30282	9840	31303	34335	18240	17289	14863	114765	46465	22530	26607	5253	2532	9598	24566	46800	42964	52592	40462	27906	20427	23512	8816	3866	8573	25151	48071	16989	47584	23003	45124	18482	19151	41251	10648	14897	19706	18242	16621	27825	10541	9263	4771	2302	6135	18182	54097	7793	4613	4520	17154	9265
Candidatus_Nitrosopumilus_sediminis	19581	51724	11581	14820	20579	16172	29150	33566	28604	51712	95526	60568	30105	10098	31205	34256	17989	16334	14807	118883	51259	24185	27813	5735	2613	9111	25174	48899	43529	54998	43715	28654	22435	23851	9616	4571	9403	27760	50915	17226	49957	23497	43749	17697	18421	39376	10988	15488	19553	17704	17814	27361	10415	9407	5053	2332	6005	17359	56405	7726	4385	4371	17369	9749
Candidatus_Nitrosopumilus_sp_SW	18626	48216	10605	13343	18502	13957	25884	31731	25265	41325	82065	56058	27728	8187	27980	31608	16963	15023	13605	103517	42998	19976	24351	4207	1948	7762	22570	44232	40001	50427	37648	25849	18156	22111	7513	3428	7584	23852	44551	14882	42956	20723	40941	16649	17485	37204	9701	13920	17118	16186	14870	24879	9375	8643	3965	1753	4717	16911	50248	6724	3786	3369	15405	7856
Candidatus_Nitrososphaera_evergladensis_SR1	47459	70300	33909	31105	67277	21283	34391	42898	42335	52313	55763	82832	55810	72356	80861	51262	40632	57286	25157	95714	39870	34734	50159	23083	33925	52161	35446	46531	84751	58422	30506	40283	28670	32328	53252	30205	34630	17519	55053	35092	60041	37880	58168	43658	42968	52448	31546	25401	32056	55856	68829	67408	28445	26991	49031	43796	49102	26088	61369	37018	32279	67029	43132	36269
Candidatus_Nitrososphaera_gargensis_Ga9_2	45537	70303	31823	26868	61001	23671	37878	42913	41849	58548	59931	79398	55587	65543	77932	50360	41715	50059	25604	84597	41956	39604	48068	19668	26487	38543	36189	44309	79178	60825	33144	38071	33363	34687	46599	28244	38004	18160	59918	33973	63618	38450	56948	38783	41292	47397	29862	23863	33302	49147	70212	68256	26071	25105	40016	34110	40050	27404	66386	31506	23225	51410	44528	32818
Candidatus_Nitrosotenuis_aquarius	23629	45459	15060	17634	26445	14605	26904	30076	26415	38396	62842	61847	38027	25804	41548	35630	18415	28767	17112	89914	29299	21361	31179	8602	9665	17476	19538	37240	42298	42457	31031	21712	17361	22816	19692	11230	14540	14222	44322	22680	41466	21731	42666	24837	22180	35973	13466	13357	21303	27525	28683	35149	13858	11702	15145	11640	16929	14609	43768	14008	9309	18141	22537	13973
Candidatus_Nitrosotenuis_chungbukensis	25148	45561	14761	18051	28333	12879	23539	33065	27656	38313	63156	59178	33902	24633	41187	35496	20418	29635	17336	96847	34391	23200	32687	10501	10772	23516	23475	42769	45944	45496	29759	24474	18436	22471	22583	12199	13065	17649	46726	20785	41169	22741	41543	24246	22288	40894	14449	14493	21903	25467	27794	36348	14713	12082	16876	11626	15375	16513	48667	16254	12671	19611	23037	16549
Candidatus_Nitrosotenuis_cloacae	23311	43882	14861	16343	24138	13295	25329	29325	25508	38386	61456	58896	39344	21400	38052	34695	16506	24116	16417	86647	29760	24170	29623	7323	7362	13737	19205	36047	39952	40124	30705	19796	18366	21467	17022	9665	13233	14538	47364	22344	43705	22694	40437	25140	22897	34779	11290	12972	20198	24780	25787	31690	14803	12834	12829	8608	14209	14412	47858	11323	7208	13425	20595	11971
